Lag,ACF
0,1.0
1,0.9511753572719113
2,0.9031224967992787
3,0.8531763386004628
4,0.8022528302198133
5,0.7591088017953784
6,0.7268301925856175
7,0.7086489748994838
8,0.7028042519443161
9,0.7037575801159046
10,0.7053376349235284
11,0.7064326153323022
12,0.7024788480397559
13,0.693302980089242
14,0.6831460377217115
15,0.6705884245550878
16,0.6631235668401072
17,0.6618376233469024
18,0.6686201204380093
19,0.6835291468208136
20,0.7071892965530747
21,0.7332345344247337
22,0.7576605551076594
23,0.7731275076872661
24,0.7779132609534712
25,0.766657345365048
26,0.7443712986183216
27,0.7153212501941196
28,0.68572109932232
29,0.6592114663121003
30,0.6385248409787976
31,0.6273226725427921
32,0.6238322725198893
33,0.6265156991758107
34,0.6295438345046833
35,0.6305485963000246
36,0.6290680899764007
37,0.6222505443194197
38,0.6126789160665143
39,0.6028135293293545
40,0.5959434404267274
41,0.5943521575040781
42,0.6003461712703045
43,0.6129651530187518
44,0.6322701580382534
45,0.654577181351285
46,0.6749581295424104
47,0.6868850273886004
48,0.6898140334317657
49,0.6809914741903882
50,0.6623267890179344
51,0.638641384554328
52,0.6135221178385076
53,0.5913635454589901
54,0.5757063033156324
55,0.5652596639601544
56,0.5618463071680196
57,0.5625274120111192
58,0.5658167295862916
59,0.567290769031642
60,0.5662086669608397
61,0.562216218831071
62,0.5549722421204712
63,0.5477116719352483
64,0.5423135662113597
65,0.540888348844749
66,0.5459368796205945
67,0.5577237774518321
68,0.575401951558267
69,0.5964639265908688
70,0.616541469848672
71,0.6296784926111653
72,0.636387540151941
73,0.6303180315950844
74,0.6152829192609687
75,0.5934010843799418
76,0.5699621242352692
77,0.548732281417944
78,0.5333122824498205
79,0.5247237624042526
80,0.5234598266426765
81,0.5263510847228985
82,0.5310016773502078
83,0.5346860338823116
84,0.5357455698637882
85,0.5331466945166353
86,0.5275815632629766
87,0.5219520273611221
88,0.5185398965304415
89,0.5193170236308894
90,0.5267348489840724
91,0.5398725998329376
92,0.5581452908259402
93,0.5794022011452934
94,0.5994733627905319
95,0.6143982696022623
96,0.620276420821871
97,0.6137393901725919
98,0.599886906883159
99,0.580072919595143
100,0.5561923348663652
101,0.5361803856251723
102,0.5227539922249693
103,0.5156284595735503
104,0.5142985367096625
105,0.5171848160568877
106,0.521729283625463
107,0.526041571664288
108,0.5272585250333257
109,0.5236185208549842
110,0.5179254675867341
111,0.5116656948579514
112,0.5079860617304901
113,0.5080831923985564
114,0.515042178327544
115,0.5282813756122645
116,0.5468378417265441
117,0.5681071630371118
118,0.5871901878208952
119,0.5999211783145676
120,0.6046286212547904
121,0.5981613656868117
122,0.582966939022469
123,0.5629116539025937
124,0.5427020077393508
125,0.5254922856403939
126,0.5137188513422486
127,0.5069489531448224
128,0.5068710402226744
129,0.5103065647699075
130,0.5152184458016705
131,0.5192638512969627
132,0.5209446746453001
133,0.5191171108651668
134,0.5150871327649889
135,0.5100290149298693
136,0.5068539238284889
137,0.5077336854353885
138,0.5149933466674395
139,0.5283210189586574
140,0.5478683023075385
141,0.5705720669989083
142,0.5902641469458159
143,0.6045731046368289
144,0.6099778804429142
145,0.604994168881773
146,0.5916997466362849
147,0.5721800239940359
148,0.551515541662289
149,0.532618334065849
150,0.5205460342753525
151,0.514064053394265
152,0.5129525533228827
153,0.5159295494446657
154,0.5209882060439464
155,0.524154554404098
156,0.5252592029714654
157,0.5231598364030737
158,0.5180252383194487
159,0.5104048255130009
160,0.5058960536234378
161,0.5047382522292446
162,0.5112638031617299
163,0.5248523423601812
